timestamp,open,high,low,close,volume,hour,day_of_week,month,session_id
2025-09-26 14:00:00+00:00,3780.332,3781.253,3771.419,3774.202,12480.0,16,4,9,3
2025-09-26 15:00:00+00:00,3774.193,3783.092,3774.032,3782.873,9353.0,17,4,9,0
2025-09-26 16:00:00+00:00,3782.908,3783.204,3774.682,3778.558,8638.0,18,4,9,0
2025-09-26 17:00:00+00:00,3778.55,3778.55,3764.617,3766.692,11871.0,19,4,9,0
2025-09-26 18:00:00+00:00,3766.743,3769.555,3760.026,3761.041,6559.0,20,4,9,0
2025-09-28 20:00:00+00:00,3764.718,3770.994,3763.322,3770.583,6649.0,22,6,9,0
2025-09-28 21:00:00+00:00,3770.482,3772.502,3766.297,3766.899,6303.0,23,6,9,0
2025-09-28 22:00:00+00:00,3766.858,3787.473,3763.91,3787.103,12903.0,0,0,9,0
2025-09-28 23:00:00+00:00,3787.066,3788.808,3767.846,3778.557,31537.0,1,0,9,0
2025-09-29 00:00:00+00:00,3778.531,3798.798,3777.583,3792.789,18258.0,2,0,9,0
2025-09-29 01:00:00+00:00,3792.825,3799.439,3792.144,3794.34,11814.0,3,0,9,0
2025-09-29 02:00:00+00:00,3794.355,3808.827,3792.419,3805.003,10681.0,4,0,9,0
2025-09-29 03:00:00+00:00,3804.974,3814.471,3801.306,3813.565,16874.0,5,0,9,0
2025-09-29 04:00:00+00:00,3813.682,3819.874,3810.953,3817.4,18854.0,6,0,9,0
2025-09-29 05:00:00+00:00,3817.36,3819.417,3805.023,3806.343,15149.0,7,0,9,0
2025-09-29 06:00:00+00:00,3806.381,3819.549,3806.381,3818.762,12261.0,8,0,9,0
2025-09-29 07:00:00+00:00,3818.753,3819.679,3806.941,3807.605,9322.0,9,0,9,0
2025-09-29 08:00:00+00:00,3807.631,3818.491,3806.499,3817.856,10195.0,10,0,9,1
2025-09-29 09:00:00+00:00,3817.908,3831.36,3816.349,3828.916,12285.0,11,0,9,1
2025-09-29 10:00:00+00:00,3828.865,3830.451,3811.594,3813.8,22566.0,12,0,9,1
2025-09-29 11:00:00+00:00,3813.831,3828.007,3809.189,3821.404,26293.0,13,0,9,2
2025-09-29 12:00:00+00:00,3821.389,3830.536,3816.734,3828.108,21210.0,14,0,9,2
2025-09-29 13:00:00+00:00,3828.153,3833.183,3820.843,3830.351,16534.0,15,0,9,3
2025-09-29 14:00:00+00:00,3830.345,3833.56,3828.195,3830.274,8641.0,16,0,9,3
2025-09-29 15:00:00+00:00,3830.31,3832.839,3823.936,3828.918,10530.0,17,0,9,0
2025-09-29 16:00:00+00:00,3828.976,3830.674,3823.343,3824.581,9213.0,18,0,9,0
2025-09-29 17:00:00+00:00,3824.585,3829.768,3822.605,3828.754,8697.0,19,0,9,0
2025-09-29 18:00:00+00:00,3828.792,3834.025,3827.758,3833.974,5498.0,20,0,9,0
2025-09-29 20:00:00+00:00,3830.346,3833.099,3825.656,3830.688,4347.0,22,0,9,0
2025-09-29 21:00:00+00:00,3830.641,3833.376,3828.041,3832.835,4781.0,23,0,9,0
2025-09-29 22:00:00+00:00,3832.89,3840.605,3831.128,3838.9,12785.0,0,1,9,0
2025-09-29 23:00:00+00:00,3838.856,3850.661,3837.969,3847.94,16282.0,1,1,9,0
2025-09-30 00:00:00+00:00,3847.985,3851.98,3842.589,3848.019,12208.0,2,1,9,0
2025-09-30 01:00:00+00:00,3847.989,3867.205,3845.821,3864.772,10989.0,3,1,9,0
2025-09-30 02:00:00+00:00,3864.731,3867.123,3861.979,3867.088,7160.0,4,1,9,0
2025-09-30 03:00:00+00:00,3867.046,3870.426,3862.599,3869.7,11299.0,5,1,9,0
2025-09-30 04:00:00+00:00,3869.771,3871.7,3854.854,3855.72,15602.0,6,1,9,0
2025-09-30 05:00:00+00:00,3855.767,3859.358,3839.471,3843.811,19114.0,7,1,9,0
2025-09-30 06:00:00+00:00,3843.843,3847.244,3807.567,3816.341,34320.0,8,1,9,0
2025-09-30 07:00:00+00:00,3816.366,3821.471,3793.074,3798.749,29583.0,9,1,9,0
2025-09-30 08:00:00+00:00,3798.749,3814.601,3798.226,3812.117,14964.0,10,1,9,1
2025-09-30 09:00:00+00:00,3812.084,3817.816,3804.313,3815.189,14303.0,11,1,9,1
2025-09-30 10:00:00+00:00,3815.128,3821.663,3808.828,3819.35,19199.0,12,1,9,1
2025-09-30 11:00:00+00:00,3819.357,3830.039,3811.529,3824.163,24712.0,13,1,9,2
2025-09-30 12:00:00+00:00,3824.004,3854.543,3820.381,3854.076,29083.0,14,1,9,2
2025-09-30 13:00:00+00:00,3854.03,3854.212,3831.177,3839.035,28794.0,15,1,9,3
2025-09-30 14:00:00+00:00,3839.001,3847.97,3837.779,3845.911,12669.0,16,1,9,3
2025-09-30 15:00:00+00:00,3845.95,3849.32,3842.683,3844.106,9757.0,17,1,9,0
2025-09-30 16:00:00+00:00,3844.094,3848.984,3839.683,3847.902,7785.0,18,1,9,0
2025-09-30 17:00:00+00:00,3847.933,3860.808,3847.115,3859.05,7892.0,19,1,9,0
2025-09-30 18:00:00+00:00,3859.09,3860.145,3850.731,3858.857,8103.0,20,1,9,0
2025-09-30 20:00:00+00:00,3857.224,3861.403,3854.64,3860.053,6988.0,22,1,9,0
2025-09-30 21:00:00+00:00,3860.046,3863.08,3860.046,3862.927,4704.0,23,1,9,0
2025-09-30 22:00:00+00:00,3862.94,3865.365,3858.56,3860.594,7724.0,0,2,10,0
2025-09-30 23:00:00+00:00,3860.567,3869.029,3859.006,3868.977,8564.0,1,2,10,0
2025-10-01 00:00:00+00:00,3868.859,3875.562,3858.013,3863.336,15026.0,2,2,10,0
2025-10-01 01:00:00+00:00,3863.346,3866.41,3855.514,3861.982,12145.0,3,2,10,0
2025-10-01 02:00:00+00:00,3861.988,3865.011,3857.379,3864.912,8377.0,4,2,10,0
2025-10-01 03:00:00+00:00,3864.915,3869.907,3862.05,3863.506,10394.0,5,2,10,0
2025-10-01 04:00:00+00:00,3863.463,3864.886,3853.356,3859.131,12964.0,6,2,10,0
2025-10-01 05:00:00+00:00,3859.167,3879.88,3858.925,3879.185,13403.0,7,2,10,0
2025-10-01 06:00:00+00:00,3879.237,3895.376,3879.002,3892.901,16533.0,8,2,10,0
2025-10-01 07:00:00+00:00,3892.921,3895.19,3883.602,3888.986,11906.0,9,2,10,0
